metabolite_key	metabolite_name	direction	hedges_g	original_fdr	gene_symbol	uniprot_accession	relationship_type	role_in_written_reaction	mapping_tier	ec_number	reaction_summary_cn	compartment	source_url	human_protein_url	relation_id	scope_note	gene_expression_status	patient_correlation_status	functional_target_status
HMDB:HMDB00721	glycylproline	升高	1.00629555593039	1.7753292914127e-06	PEPD	P12955	酶	水解底物	A	3.4.13.9	Gly-Pro属于X-Pro二肽底物，水解得到甘氨酸和脯氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/3.4.13.9	https://www.uniprot.org/uniprotkb/P12955/entry	R032	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00009	phosphate	升高	1.23274952613508	5.30668984072043e-07	PPA1	Q15181	酶	水解产物	A	3.6.1.1	无机焦磷酸水解为两个磷酸。	未逐基因核定	https://enzyme.expasy.org/EC/3.6.1.1	https://www.uniprot.org/uniprotkb/Q15181/entry	R080	磷酸/焦磷酸参与广泛反应；只列这一明确处理反应，不扩展所有ATP相关酶，也不据此称PPA为专属靶点。	未分析	未分析	未评价
KEGG:C00009	phosphate	升高	1.23274952613508	5.30668984072043e-07	PPA2	Q9H2U2	酶	水解产物	A	3.6.1.1	无机焦磷酸水解为两个磷酸。	未逐基因核定	https://enzyme.expasy.org/EC/3.6.1.1	https://www.uniprot.org/uniprotkb/Q9H2U2/entry	R080	磷酸/焦磷酸参与广泛反应；只列这一明确处理反应，不扩展所有ATP相关酶，也不据此称PPA为专属靶点。	未分析	未分析	未评价
KEGG:C00013	pyrophosphate (PPi)	升高	0.633294514648949	0.000486781131029987	PPA1	Q15181	酶	水解底物	A	3.6.1.1	无机焦磷酸水解为两个磷酸。	未逐基因核定	https://enzyme.expasy.org/EC/3.6.1.1	https://www.uniprot.org/uniprotkb/Q15181/entry	R080	磷酸/焦磷酸参与广泛反应；只列这一明确处理反应，不扩展所有ATP相关酶，也不据此称PPA为专属靶点。	未分析	未分析	未评价
KEGG:C00013	pyrophosphate (PPi)	升高	0.633294514648949	0.000486781131029987	PPA2	Q9H2U2	酶	水解底物	A	3.6.1.1	无机焦磷酸水解为两个磷酸。	未逐基因核定	https://enzyme.expasy.org/EC/3.6.1.1	https://www.uniprot.org/uniprotkb/Q9H2U2/entry	R080	磷酸/焦磷酸参与广泛反应；只列这一明确处理反应，不扩展所有ATP相关酶，也不据此称PPA为专属靶点。	未分析	未分析	未评价
KEGG:C00021	S-adenosylhomocysteine (SAH)	升高	0.443397127279218	0.037606997574713	AHCY	P23526	酶	可逆反应参与物	A	3.13.2.1	SAH水解反应连接同型半胱氨酸与腺苷。	未逐基因核定	https://enzyme.expasy.org/EC/3.13.2.1	https://www.uniprot.org/uniprotkb/P23526/entry	R029	现行EC 3.13.2.1；旧EC 3.3.1.1已转移。	未分析	未分析	未评价
KEGG:C00021	S-adenosylhomocysteine (SAH)	升高	0.443397127279218	0.037606997574713	NNMT	P40261	酶	甲基转移副产物	A	2.1.1.1	烟酰胺接受SAM甲基，生成1-MNA与SAH。	未逐基因核定	https://enzyme.expasy.org/EC/2.1.1.1	https://www.uniprot.org/uniprotkb/P40261/entry	R072	SAH是广泛甲基转移产物；仅保留与本次已选NNMT反应的显式关系，不扩展所有甲基转移酶。	未分析	未分析	未评价
KEGG:C00025	glutamate	升高	1.76291003863997	2.72915698370918e-10	ASNS	P08243	酶	反应产物	A	6.3.5.4	天冬氨酸与谷氨酰胺在ATP参与下生成天冬酰胺和谷氨酸。	未逐基因核定	https://www.kegg.jp/entry/6.3.5.4	https://www.uniprot.org/uniprotkb/P08243/entry	R003	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00025	glutamate	升高	1.76291003863997	2.72915698370918e-10	BCAT1	P54687	酶	可逆反应参与物	A	2.6.1.42	支链氨基酸（含异亮氨酸）转氨反应连接谷氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.6.1.42	https://www.uniprot.org/uniprotkb/P54687/entry	R021	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00025	glutamate	升高	1.76291003863997	2.72915698370918e-10	BCAT2	O15382	酶	可逆反应参与物	A	2.6.1.42	支链氨基酸（含异亮氨酸）转氨反应连接谷氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.6.1.42	https://www.uniprot.org/uniprotkb/O15382/entry	R021	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
