feature_name	gene	mapping_class	source_url	limitation	GSE263733	GSE278688	GSE242230	n_evaluable_cohorts	max_top_agreement	interpretation	evidence_scope
1-pentadecanoylglycerol (1-monopentadecanoin)	MGLL	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q99685/entry	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	Endothelial	Endothelial	Epithelial/Ductal	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
1-stearoylglycerol (18:0)	MGLL	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q99685/entry	Original D01947 is glyceryl monostearate drug/mixture entry; name-specific 1-isomer hypothesis needs source confirmation.	Endothelial	Endothelial	Epithelial/Ductal	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-linoleoylglycerol (2-monolinolein)	MGLL	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q99685/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Endothelial	Endothelial	Epithelial/Ductal	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-myristoylglycerol (2-monomyristin)	MGLL	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q99685/entry	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	Endothelial	Endothelial	Epithelial/Ductal	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-oleoylglycerol (2-monoolein)	MGLL	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q99685/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Endothelial	Endothelial	Epithelial/Ductal	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-palmitoylglycerol (16:0)	MGLL	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q99685/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Endothelial	Endothelial	Epithelial/Ductal	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-stearoylglycerol (2-monostearin)	MGLL	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q99685/entry	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	Endothelial	Endothelial	Epithelial/Ductal	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
glycerol	MGLL	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q99685/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Endothelial	Endothelial	Epithelial/Ductal	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
1-pentadecanoylglycerol (1-monopentadecanoin)	MOGAT1	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q96PD6/entry	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	Epithelial/Ductal	Epithelial/Ductal	Epithelial/Ductal	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
1-stearoylglycerol (18:0)	MOGAT1	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q96PD6/entry	Original D01947 is glyceryl monostearate drug/mixture entry; name-specific 1-isomer hypothesis needs source confirmation.	Epithelial/Ductal	Epithelial/Ductal	Epithelial/Ductal	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-myristoylglycerol (2-monomyristin)	MOGAT1	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q96PD6/entry	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	Epithelial/Ductal	Epithelial/Ductal	Epithelial/Ductal	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-oleoylglycerol (2-monoolein)	MOGAT1	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q96PD6/entry	Exact annotation lacks reaction-specific experimental evidence tag; inference-only candidate retained pending specificity review	Epithelial/Ductal	Epithelial/Ductal	Epithelial/Ductal	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-stearoylglycerol (2-monostearin)	MOGAT1	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q96PD6/entry	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	Epithelial/Ductal	Epithelial/Ductal	Epithelial/Ductal	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
1-stearoylglycerol (18:0)	MOGAT2	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q3SYC2/entry	Original D01947 is glyceryl monostearate drug/mixture entry; name-specific 1-isomer hypothesis needs source confirmation.	Epithelial/Ductal	Epithelial/Ductal	Epithelial/Ductal	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-myristoylglycerol (2-monomyristin)	MOGAT2	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q3SYC2/entry	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	Epithelial/Ductal	Epithelial/Ductal	Epithelial/Ductal	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-oleoylglycerol (2-monoolein)	MOGAT2	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q3SYC2/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Epithelial/Ductal	Epithelial/Ductal	Epithelial/Ductal	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-stearoylglycerol (2-monostearin)	MOGAT2	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q3SYC2/entry	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	Epithelial/Ductal	Epithelial/Ductal	Epithelial/Ductal	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
1-stearoylglycerol (18:0)	ABHD12	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q8N2K0/entry	Original D01947 is glyceryl monostearate drug/mixture entry; name-specific 1-isomer hypothesis needs source confirmation.	Myeloid	Myeloid	Myeloid	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-linoleoylglycerol (2-monolinolein)	ABHD12	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q8N2K0/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Myeloid	Myeloid	Myeloid	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-oleoylglycerol (2-monoolein)	ABHD12	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q8N2K0/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Myeloid	Myeloid	Myeloid	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-palmitoylglycerol (16:0)	ABHD12	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q8N2K0/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Myeloid	Myeloid	Myeloid	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
glycerol	ABHD12	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q8N2K0/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Myeloid	Myeloid	Myeloid	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2'-deoxycytidine 5'-monophosphate	AK4	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/P27144/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Epithelial/Ductal	Epithelial/Ductal	Epithelial/Ductal	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2'-deoxycytidine 5'-monophosphate	AK9	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q5TCS8/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Endothelial	B/Plasma	T/NK	3	1	COHORT_DEPENDENT_OR_NOT_EVALUABLE	Descriptive gene expression source;not metabolite production or exact-relation validation
2'-deoxycytidine 5'-monophosphate	CMPK2	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q5EBM0/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Myeloid	Myeloid	Endothelial	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2'-deoxycytidine 5'-monophosphate	DCK	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/P27707/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	T/NK	B/Plasma	B/Plasma	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2'-deoxyguanosine	DCK	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/P27707/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	T/NK	B/Plasma	B/Plasma	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2'-deoxycytidine 5'-monophosphate	DCTD	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/P32321/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Fibroblast/CAF	Fibroblast/CAF	Fibroblast/CAF	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2'-deoxycytidine 5'-monophosphate	DCTPP1	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q9H773/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Epithelial/Ductal	Epithelial/Ductal	Epithelial/Ductal	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2'-deoxycytidine 5'-monophosphate	NT5C1A	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q9BXI3/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	NOT_EVALUABLE	Fibroblast/CAF	NOT_EVALUABLE	1	1	COHORT_DEPENDENT_OR_NOT_EVALUABLE	Descriptive gene expression source;not metabolite production or exact-relation validation
2'-deoxycytidine 5'-monophosphate	NT5E	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/P21589/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Epithelial/Ductal	Endothelial	B/Plasma	3	1	COHORT_DEPENDENT_OR_NOT_EVALUABLE	Descriptive gene expression source;not metabolite production or exact-relation validation
thymidine	NT5E	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/P21589/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Epithelial/Ductal	Endothelial	B/Plasma	3	1	COHORT_DEPENDENT_OR_NOT_EVALUABLE	Descriptive gene expression source;not metabolite production or exact-relation validation
2'-deoxycytidine 5'-monophosphate	SLC25A36	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q96CQ1/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Fibroblast/CAF	Fibroblast/CAF	Fibroblast/CAF	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2'-deoxycytidine 5'-monophosphate	TK2	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/O00142/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Myeloid	Myeloid	Myeloid	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
thymidine	TK2	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/O00142/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Myeloid	Myeloid	Myeloid	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2'-deoxycytidine 5'-monophosphate	CMPK1	CONDITIONAL	https://www.uniprot.org/uniprotkb/P30085/entry	Exact annotation lacks reaction-specific experimental evidence tag; inference-only candidate retained pending specificity review	Epithelial/Ductal	Epithelial/Ductal	Epithelial/Ductal	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2'-deoxycytidine 5'-monophosphate	NT5C	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q8TCD5/entry	Exact annotation lacks reaction-specific experimental evidence tag; inference-only candidate retained pending specificity review	Epithelial/Ductal	Epithelial/Ductal	B/Plasma	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2'-deoxyguanosine	NT5C	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q8TCD5/entry	Exact annotation lacks reaction-specific experimental evidence tag; inference-only candidate retained pending specificity review	Epithelial/Ductal	Epithelial/Ductal	B/Plasma	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
thymidine	NT5C	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q8TCD5/entry	Exact annotation lacks reaction-specific experimental evidence tag; inference-only candidate retained pending specificity review	Epithelial/Ductal	Epithelial/Ductal	B/Plasma	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
