cancer	cohort	feature_id	metabolite_key	metabolite_name	gene	stable_gene_id	uniprot_accession	mapping_status	relationship_type	reaction	role	source_url	source_evidence	reason	reused_library	original_evidence_id
ccRCC	ccRCC4	ccRCC4_FEATURE:1eff6e271ee2dfb3	KEGG:C02918	1-methylnicotinamide	AOX1	ENSG00000138356	Q06278	DIRECT_ACCEPTED	酶	1-MNA氧化连接甲基吡啶酮羧酰胺类产物。	氧化转化底物	https://www.kegg.jp/entry/R04085 ; https://www.uniprot.org/uniprotkb/Q06278/entry	Legacy curated tier A	KEGG C02918/R04085/R08408与人AOX1(hsa:316,Q06278)相互支持；本轮未分析AOX1表达或1-MNA清除速率。 旧关系按既有审定复用，本轮未逐篇重审。	BRCA_mapping190_v2	M190E0149
ccRCC	ccRCC4	ccRCC4_FEATURE:1eff6e271ee2dfb3	KEGG:C02918	1-methylnicotinamide	NNMT	ENSG00000166741	P40261	DIRECT_ACCEPTED	酶	烟酰胺接受SAM甲基，生成1-MNA与SAH。	生成产物	https://enzyme.expasy.org/EC/2.1.1.1 ; https://www.uniprot.org/uniprotkb/P40261/entry	Legacy curated tier A	SAH是广泛甲基转移产物；仅保留与本次已选NNMT反应的显式关系，不扩展所有甲基转移酶。 旧关系按既有审定复用，本轮未逐篇重审。	BRCA_mapping190_v2	M190E0150
ccRCC	ccRCC4	ccRCC4_FEATURE:1eff6e271ee2dfb3	KEGG:C02918	1-methylnicotinamide	SLC22A2	ENSG00000112499	O15244	DIRECT_ACCEPTED	transporter	1-methylnicotinamide(out) = 1-methylnicotinamide(in)	transport	https://www.uniprot.org/uniprotkb/O15244/entry	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""9260930""}]"	精确反应参与物；反应书写方向不是患者内净通量方向。数据库推断/实验证据代码逐条保留；不宣称均为人类直接酶学实验。	BRCA_mapping190_v2	M190E0311
ccRCC	ccRCC4	ccRCC4_FEATURE:1eff6e271ee2dfb3	KEGG:C02918	1-methylnicotinamide	NNMT	ENSG00000166741	P40261	DIRECT_ACCEPTED	direct_generation	nicotinamide methylation generates N1-methylnicotinamide		https://www.uniprot.org/uniprotkb/P40261/entry	human_experimental_function	one-to-one frozen eligible key AND exact normalized canonical source annotation; mixtures/conflicts rejected; stereochemistry not experimentally revalidated	ccRCC_locked_20260910	
ccRCC	ccRCC4	ccRCC4_FEATURE:29d789e07eb7a710	KEGG:C00127	glutathione, oxidized (GSSG)	GPX1	HGNC:4553	P07203	DIRECT_ACCEPTED	enzyme	2 glutathione + H2O2 = glutathione disulfide + 2 H2O	product_as_written	https://www.uniprot.org/uniprotkb/P07203/entry	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""11115402""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""36608588""}]"	Inherited CAMP chemical identity; not new stereochemical identification or flux evidence	PRAD_mapping_v1	RHEA:16833
ccRCC	ccRCC4	ccRCC4_FEATURE:29d789e07eb7a710	KEGG:C00127	glutathione, oxidized (GSSG)	GPX1	HGNC:4553	P07203	DIRECT_ACCEPTED	enzyme	a hydroperoxy polyunsaturated fatty acid + 2 glutathione = a hydroxy polyunsaturated fatty acid + glutathione disulfide + H2O	product_as_written	https://www.uniprot.org/uniprotkb/P07203/entry	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""11115402""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""36608588""}]"	Inherited CAMP chemical identity; not new stereochemical identification or flux evidence	PRAD_mapping_v1	RHEA:19057
ccRCC	ccRCC4	ccRCC4_FEATURE:29d789e07eb7a710	KEGG:C00127	glutathione, oxidized (GSSG)	GPX1	HGNC:4553	P07203	DIRECT_ACCEPTED	enzyme	tert-butyl hydroperoxide + 2 glutathione = tert-butanol + glutathione disulfide + H2O	product_as_written	https://www.uniprot.org/uniprotkb/P07203/entry	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""36608588""}]"	Inherited CAMP chemical identity; not new stereochemical identification or flux evidence	PRAD_mapping_v1	RHEA:69412
ccRCC	ccRCC4	ccRCC4_FEATURE:29d789e07eb7a710	KEGG:C00127	glutathione, oxidized (GSSG)	GPX1	HGNC:4553	P07203	DIRECT_ACCEPTED	enzyme	cumene hydroperoxide + 2 glutathione = 2-phenylpropan-2-ol + glutathione disulfide + H2O	product_as_written	https://www.uniprot.org/uniprotkb/P07203/entry	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""36608588""}]"	Inherited CAMP chemical identity; not new stereochemical identification or flux evidence	PRAD_mapping_v1	RHEA:69651
ccRCC	ccRCC4	ccRCC4_FEATURE:29d789e07eb7a710	KEGG:C00127	glutathione, oxidized (GSSG)	GPX1	HGNC:4553	P07203	DIRECT_ACCEPTED	enzyme	(13S)-hydroperoxy-(9Z,11E)-octadecadienoate + 2 glutathione = (13S)-hydroxy-(9Z,11E)-octadecadienoate + glutathione disulfide + H2O	product_as_written	https://www.uniprot.org/uniprotkb/P07203/entry	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""36608588""}]"	Inherited CAMP chemical identity; not new stereochemical identification or flux evidence	PRAD_mapping_v1	RHEA:48888
ccRCC	ccRCC4	ccRCC4_FEATURE:29d789e07eb7a710	KEGG:C00127	glutathione, oxidized (GSSG)	GPX1	HGNC:4553	P07203	DIRECT_ACCEPTED	enzyme	(9S)-hydroperoxy-(10E,12Z)-octadecadienoate + 2 glutathione = (9S)-hydroxy-(10E,12Z)-octadecadienoate + glutathione disulfide + H2O	product_as_written	https://www.uniprot.org/uniprotkb/P07203/entry	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""36608588""}]"	Inherited CAMP chemical identity; not new stereochemical identification or flux evidence	PRAD_mapping_v1	RHEA:76687
