cancer	stage_id	run_id	analysis_version	status	scope	result_path	code_path	git_branch	reason	next_action
ccRCC	01_CAMP	20260925T143000Z_discovery_v1	ccrcc_discovery_v1	NEEDS_REVIEW	ccRCC4 initial histology audit	results/ccRCC/01_CAMP/20260925T143000Z_discovery_v1	code/ccrcc_discovery_v1.py	analysis/ccrcc-discovery-20260925	superseded by original-study histology v2	read current integration and explicit remaining gaps
ccRCC	01_CAMP	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	DONE	ccRCC3 author identity;17 pairs	results/ccRCC/01_CAMP/20260925T151000Z_ccrcc3_v1	code/ccrcc3_discovery_v1.py	analysis/ccrcc-discovery-20260925	later therapy audit independently confirms histology and RNA links	read current integration and explicit remaining gaps
ccRCC	01_CAMP	20260925T155000Z_ccrcc4_histology_v2	ccrcc4_discovery_v2	DONE	ccRCC4 corrected pathology;12pairs	results/ccRCC/01_CAMP/20260925T155000Z_ccrcc4_histology_v2	code/ccrcc4_discovery_v2.py	analysis/ccrcc-discovery-20260925	5 specimens from3patients excluded;history preserved	read current integration and explicit remaining gaps
ccRCC	02_MAPPING	20260925T143000Z_discovery_v1	ccrcc_mapping_v1	NEEDS_REVIEW	initial ccRCC4 mapping	results/ccRCC/02_MAPPING/20260925T143000Z_discovery_v1	code/ccrcc_mapping_v1.py	analysis/ccrcc-discovery-20260925	superseded workpool;keep historical genes	read current integration and explicit remaining gaps
ccRCC	02_MAPPING	20260925T151000Z_ccrcc3_v1	ccrcc_mapping_v1	PARTIAL	ccRCC3 221 relations;144 genes	results/ccRCC/02_MAPPING/20260925T151000Z_ccrcc3_v1	code/ccrcc_mapping_v1.py	analysis/ccrcc-discovery-20260925	401 workpool features NEEDS_REVIEW;bounded library	read current integration and explicit remaining gaps
ccRCC	02_MAPPING	20260925T155000Z_ccrcc4_histology_v2	ccrcc_mapping_v1	PARTIAL	ccRCC4 130 relations;95 current genes	results/ccRCC/02_MAPPING/20260925T155000Z_ccrcc4_histology_v2	code/ccrcc_mapping_v1.py	analysis/ccrcc-discovery-20260925	388 workpool features NEEDS_REVIEW;bounded library	read current integration and explicit remaining gaps
ccRCC	03_PATIENT	20260925T143000Z_discovery_v1	ccrcc_patient_v1	NEEDS_REVIEW	initial ccRCC4 patient results	results/ccRCC/03_PATIENT/20260925T143000Z_discovery_v1	code/ccrcc_patient_v1.py	analysis/ccrcc-discovery-20260925	superseded histology scope	read current integration and explicit remaining gaps
ccRCC	03_PATIENT	20260925T151000Z_ccrcc3_v1	ccrcc3_patient_v1	DONE	ccRCC3 primary/available/RNA	results/ccRCC/03_PATIENT/20260925T151000Z_ccrcc3_v1	code/ccrcc3_patient_v1.py	analysis/ccrcc-discovery-20260925	coarse therapy sensitivity superseded separately	read current integration and explicit remaining gaps
ccRCC	03_PATIENT	20260925T155000Z_ccrcc4_histology_v2	ccrcc4_patient_v2	DONE	ccRCC4 corrected all-family statistics	results/ccRCC/03_PATIENT/20260925T155000Z_ccrcc4_histology_v2	code/ccrcc4_patient_v2.py	analysis/ccrcc-discovery-20260925	12 patients;treated context	read current integration and explicit remaining gaps
ccRCC	03_PATIENT	20260925T155500Z_ccrcc3_therapy_v2	ccrcc3_treatment_sensitivity_v2	DONE	ccRCC3 refined therapy;primary/RNA exact reuse	results/ccRCC/03_PATIENT/20260925T155500Z_ccrcc3_therapy_v2	code/ccrcc3_treatment_sensitivity_v2.py	analysis/ccrcc-discovery-20260925	NO includes1cabozantinib;combined author strata	read current integration and explicit remaining gaps
ccRCC	04_ROBUSTNESS	20260925T143000Z_discovery_v1	ccrcc_discovery_v1	NEEDS_REVIEW	initial ccRCC4 paired discovery	results/ccRCC/04_ROBUSTNESS/20260925T143000Z_discovery_v1	code/ccrcc_discovery_v1.py	analysis/ccrcc-discovery-20260925	superseded histology scope	read current integration and explicit remaining gaps
ccRCC	04_ROBUSTNESS	20260925T151000Z_ccrcc3_v1	ccrcc3_discovery_v1	DONE	ccRCC3 711 features;17pairs	results/ccRCC/04_ROBUSTNESS/20260925T151000Z_ccrcc3_v1	code/ccrcc3_discovery_v1.py	analysis/ccrcc-discovery-20260925	mixed therapy;not independent replication	read current integration and explicit remaining gaps
