cancer	cohort	stage_id	run_id	analysis_version	feature_id	metabolite_key	metabolite_name	gene	uniprot_accession	relationship_type	role	reaction	mapping_status	source_url	source_evidence	provenance	original_evidence_id	source_commit	reason
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:bbaeab8a6207ef59	KEGG:C00245	taurine	SLC6A6	P31641	转运体	直接运输底物	人钠/氯依赖牛磺酸转运体。	DIRECT_ACCEPTED	https://www.kegg.jp/entry/hsa:6533 ; https://www.uniprot.org/uniprotkb/P31641/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0090	f18a215dc8a269e4f16c55011633d557f069f631	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:114ae5cf96c222d7	KEGG:C00106	uracil	DPYD	Q12882	酶	可逆氧化还原参与物	尿嘧啶与5,6-二氢尿嘧啶之间的氧化还原反应。	DIRECT_ACCEPTED	https://enzyme.expasy.org/EC/1.3.1.2 ; https://www.uniprot.org/uniprotkb/Q12882/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0054	f18a215dc8a269e4f16c55011633d557f069f631	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:114ae5cf96c222d7	KEGG:C00106	uracil	UPP1	Q16831	酶	可逆磷酸解参与物	尿苷磷酸解连接尿嘧啶和核糖1-磷酸。	DIRECT_ACCEPTED	https://enzyme.expasy.org/EC/2.4.2.3 ; https://www.uniprot.org/uniprotkb/Q16831/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0055	f18a215dc8a269e4f16c55011633d557f069f631	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:114ae5cf96c222d7	KEGG:C00106	uracil	UPP2	O95045	酶	可逆磷酸解参与物	尿苷磷酸解连接尿嘧啶和核糖1-磷酸。	DIRECT_ACCEPTED	https://enzyme.expasy.org/EC/2.4.2.3 ; https://www.uniprot.org/uniprotkb/O95045/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0056	f18a215dc8a269e4f16c55011633d557f069f631	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:114ae5cf96c222d7	KEGG:C00106	uracil	SLC29A2	Q14542	transporter	direct_transport	uracil(in) = uracil(out)	DIRECT_ACCEPTED	https://www.uniprot.org/uniprotkb/Q14542/entry	PubMed:21795683	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0176	f18a215dc8a269e4f16c55011633d557f069f631	Inherited CAMP identity; not reidentified by standards; not breast-specific function or proven flux.
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:06e815b4cb74d64d	KEGG:C00262	hypoxanthine	HPRT1	P00492	酶	补救合成底物	次黄嘌呤/鸟嘌呤与PRPP连接IMP/GMP补救合成。	DIRECT_ACCEPTED	https://enzyme.expasy.org/EC/2.4.2.8 ; https://www.uniprot.org/uniprotkb/P00492/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0093	f18a215dc8a269e4f16c55011633d557f069f631	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:06e815b4cb74d64d	KEGG:C00262	hypoxanthine	PNP	P00491	酶	可逆磷酸解参与物	肌苷磷酸解连接次黄嘌呤；鸟苷磷酸解连接鸟嘌呤。	DIRECT_ACCEPTED	https://enzyme.expasy.org/EC/2.4.2.1 ; https://www.uniprot.org/uniprotkb/P00491/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0094	f18a215dc8a269e4f16c55011633d557f069f631	本轮仅收录人PNP明确经典底物；不把黄苷或所有修饰核苷自动纳入。 旧关系按既有审定复用，本轮未逐篇重审。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:06e815b4cb74d64d	KEGG:C00262	hypoxanthine	SLC29A2	Q14542	transporter	direct_transport	hypoxanthine(out) = hypoxanthine(in)	DIRECT_ACCEPTED	https://www.uniprot.org/uniprotkb/Q14542/entry	PubMed:16214850;21795683	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0175	f18a215dc8a269e4f16c55011633d557f069f631	Inherited CAMP identity; not reidentified by standards; not breast-specific function or proven flux.
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:775b2233d3a86349	KEGG:C00300	creatine	CKB	P12277	酶	可逆反应参与物	肌酸与磷酸肌酸之间的磷酸基转移。	DIRECT_ACCEPTED	https://enzyme.expasy.org/EC/2.7.3.2 ; https://www.uniprot.org/uniprotkb/P12277/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0103	f18a215dc8a269e4f16c55011633d557f069f631	本轮列入胞质两种肌酸激酶；不是全部肌酸相关基因的穷尽目录。 旧关系按既有审定复用，本轮未逐篇重审。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:775b2233d3a86349	KEGG:C00300	creatine	CKM	P06732	酶	可逆反应参与物	肌酸与磷酸肌酸之间的磷酸基转移。	DIRECT_ACCEPTED	https://enzyme.expasy.org/EC/2.7.3.2 ; https://www.uniprot.org/uniprotkb/P06732/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0104	f18a215dc8a269e4f16c55011633d557f069f631	本轮列入胞质两种肌酸激酶；不是全部肌酸相关基因的穷尽目录。 旧关系按既有审定复用，本轮未逐篇重审。
