gene	searches	searches_done	returned_hits	curated_evidence_records	evidence_ids	functional_evidence_class	status	reason_cn	model_and_limits_cn	next_minimum_work_cn	depmap_status	singlecell_extension_status	public_intervention_matrix_status
ABHD12	2	2	6	1	N39E001	BRCA_GENETIC	DONE	本轮已摘录指定来源，未穷尽全部文献	MCF7;MDA-MB-231：摘要层；不能证明当前脂质介导	先核对具体模型及可用公开干预数据；不直接开始机制分析	NOT_RUN	NOT_RUN	NOT_ESTABLISHED_THIS_PASS
ABHD6	2	2	2	0		NO_CURATED_BREAST_SELF_PERTURBATION_THIS_PASS	NEEDS_REVIEW	定向检索已记录；尚未提取可核对的直接乳腺自身干预证据，不是生物学阴性		保留候选；需要深入时扩展别名或全文检索	NOT_RUN	NOT_RUN	NOT_ESTABLISHED_THIS_PASS
ACSL1	2	2	36	1	N39E002	BRCA_GENETIC	DONE	本轮已摘录指定来源，未穷尽全部文献	MDA-MB-231;TNFalpha条件：直接终点是炎症因子；triacsin C并非单基因特异证明	先核对具体模型及可用公开干预数据；不直接开始机制分析	NOT_RUN	NOT_RUN	NOT_ESTABLISHED_THIS_PASS
ACSL3	2	2	23	1	N39E003	BRCA_GENETIC_DIRECTION_CAUTION	DONE	本轮已摘录指定来源，未穷尽全部文献	MCF7;MDA-MB-231：不能直接建议抑制；原研究新数据需申请	先核对具体模型及可用公开干预数据；不直接开始机制分析	NOT_RUN	NOT_RUN	NOT_ESTABLISHED_THIS_PASS
ACSL4	2	2	36	2	N39E004;N39E005	BRCA_GENETIC	DONE	本轮已摘录指定来源，未穷尽全部文献	TNBC;MDA-MB-231 RNA实验：脂肪酸氧化与表观调控背景；不是全部BRCA通用结论 | 乳腺癌细胞及肺转移模型：与ZEB2共同背景；不是独立患者复现	先核对具体模型及可用公开干预数据；不直接开始机制分析	NOT_RUN	NOT_RUN	SOURCE_IDENTIFIED_METADATA_CHECKED
ACSL5	2	2	14	2	N39E006;N39E007	BRCA_FUNCTION_CONTEXT;BRCA_GENETIC_DIRECTION_CAUTION	DONE	本轮已摘录指定来源，未穷尽全部文献	MDA-MB-231;BT-549;COL I：体外COL I环境；不推广至肺转移营养背景 | 肺偏好转移乳腺癌;富棕榈酸环境：摘要未逐项区分基因构建；与COL I模型方向不可简单合并	先核对具体模型及可用公开干预数据；不直接开始机制分析	NOT_RUN	NOT_RUN	NOT_ESTABLISHED_THIS_PASS
ACSL6	2	2	9	1	N39E008	FUNCTION_MODEL_DETAIL_PENDING	DONE	本轮已摘录指定来源，未穷尽全部文献	结直肠癌与乳腺癌;DHA条件：需分开乳腺与结直肠各实验；不能把肠癌小鼠疗效转到乳腺癌	先核对具体模型及可用公开干预数据；不直接开始机制分析	NOT_RUN	NOT_RUN	NOT_ESTABLISHED_THIS_PASS
ACSM1	2	2	2	0		NO_CURATED_BREAST_SELF_PERTURBATION_THIS_PASS	NEEDS_REVIEW	定向检索已记录；尚未提取可核对的直接乳腺自身干预证据，不是生物学阴性		保留候选；需要深入时扩展别名或全文检索	NOT_RUN	NOT_RUN	NOT_ESTABLISHED_THIS_PASS
ALOX15	2	2	34	0		NO_CURATED_BREAST_SELF_PERTURBATION_THIS_PASS	NEEDS_REVIEW	定向检索已记录；尚未提取可核对的直接乳腺自身干预证据，不是生物学阴性		保留候选；需要深入时扩展别名或全文检索	NOT_RUN	NOT_RUN	NOT_ESTABLISHED_THIS_PASS
ALOX5	2	2	25	1	N39E009	BRCA_FUNCTION_CONTEXT	DONE	本轮已摘录指定来源，未穷尽全部文献	HER2背景;SKBR3;BT-474：本轮不把HER2 siRNA当作ALOX5自身遗传验证；干预细节待核对	先核对具体模型及可用公开干预数据；不直接开始机制分析	NOT_RUN	NOT_RUN	NOT_ESTABLISHED_THIS_PASS
